alignment 对齐
provisional 临时的
apparatus 装置
translucent 半透明的
opaque material 不透明的材料
fiducial 基准
autofocus 自动对焦
stage test 平台测试
nucleic acid 核酸
validation 验证
embodiment 具体化
thereon 在其上
perspective view 透视图
graphical user interface 图像用户界面
exemplary 典范的
planar area 平面区域
simultaneously 同时地
sequentially 按顺序地
field of view 视野 
heterogeneous 不均匀的
Standardization  归一化
quality management  质量管理
evolve  进化
vanish 消失
momentum  动力
consequence 结果
comprehensive  综合的
scarce 稀缺的
ongoing project 正在进行中的项目
accreditation  鉴定
upstream process 上游处理
prospectively 预期地
implement 实现
crucial 重要的
exert 发挥
FDA  Food and Drug Administration 食药监局
SOP  Standard Operation Procedure  标准操作程序
traceability  可跟踪性
unravel  阐明
quality assurance   质量保证
comparison 对比（名词）
correction 修正
independent 独立的
alternatives 可选方案
convolution model 卷积模型
stabilize 稳定（动词）
log-ratio 对数比 
applicable 适用于
surrogate measurement 替代指标
foreground 前景
fluorescence 荧光
non-specific 非特异性
unbiased estimate 无偏估计
statistical property 统计特性
phenomenon 现象
strategy 策略
mitigate the problem 缓解问题
non-linear filter 非线性滤波器
differential expression 差异表达
empirical 经验主义的
robustness   健壮性
low-quality   低质量的
index    索引
chastity   简洁
demultiplex   多路分用
guideline   指导方针
probability   可能性
look-up table  查表
aggregate   合计
binary    二进制
Thumbnail   缩略图
instrument   仪器
module    模块
diagnostic procedure   诊断流程
proprietary   所有权
product Catalog  产品目录
revision history  修正历史
annual preventive maintenance 年度预防性维护
Appendix A   附录A  
Real-Time Analysis  实时分析
next-generation sequencing  下一代测序
intensity signal   强度信号
approach  方法 接近
bias  偏差 偏见
methodological   方法的
platform   平台
workhorse   主力军
staggering   惊人的
commercial   商业的
accuracy   准确度
variability   变化
genome    基因组
individual   个体的
technology   技术
analyze    分析（动词）
pipeline   管线、流程
analysis   分析（名词）
coverage rate  覆盖率
consensus   一致性
conversely   相反地
